time,voltage,height
80.8329808712006,4,0.052
82.8610169887543,4,0.0478
83.8728041648865,4,0.0563
84.8794498443604,4,0.041
85.8853416442871,4,0.0469
86.94300365448,4,0.052
87.9648118019104,4,0.0468
88.9728209972382,4,0.052
89.9968950748444,4,0.052
91.0048894882202,4,0.0563
92.0128917694092,4,0.052
93.0208239555359,4,0.052
94.0290095806122,4,0.0478
95.0328419208527,4,0.0563
96.0408668518066,4,0.0565
97.0689132213593,4,0.052
98.0783619880676,4,0.052
99.088812828064,4,0.052
100.09681892395,4,0.052
101.104845762253,4,0.052
103.112890005112,4,0.052
104.128981113434,4,0.052
105.141912937164,4,0.052
106.169004678726,4,0.0468
107.183398008347,4,0.052
108.24175453186,4,0.052
109.246604681015,4,0.052
110.255433797836,4,0.052
111.272663116455,4,0.052
112.280124187469,4,0.052
113.290723323822,4,0.052
114.303546905518,4,0.052
115.309225797653,4,0.0478
116.317146062851,4,0.0522
117.321310281754,4,0.0478
118.32740020752,4,0.0478
119.332819461823,4,0.0435
120.360891342163,4,0.0435
121.368926763535,4,0.0469
123.380934476852,4,0.0469
124.390979766846,4,0.0512
125.404919624329,4,0.0466
126.412949323654,4,0.0478
127.421021699905,4,0.0468
128.428930282593,4,0.0468
129.436940193176,4,0.0468
130.444951534271,4,0.041
131.452934265137,4,0.0478
132.480928421021,4,0.0468
133.488957643509,4,0.0512
134.496969938278,4,0.0512
135.504963874817,4,0.0478
136.534749507904,4,0.0469
137.550692081451,4,0.0469
138.560929775238,4,0.0469
139.568968057632,4,0.0469
140.576973438263,4,0.0512
141.584853887558,4,0.0512
143.649099111557,4,0.0512
144.656297922134,4,0.0512
145.662496328354,4,0.0512
146.670078277588,4,0.0556
147.693705797195,4,0.0466
148.698513746262,4,0.0556
149.707245826721,4,0.0512
150.717187166214,4,0.0466
151.723024129868,4,0.0512
152.727895259857,4,0.0466
153.735997200012,4,0.0512
154.741812944412,4,0.0512
155.746479034424,4,0.0512
156.750059843063,4,0.0512
157.754112482071,4,0.0469
158.759363651276,4,0.0469
159.765473127365,4,0.0512
160.76907992363,4,0.0512
161.784804105759,4,0.0512
163.816935300827,4,0.0512
164.839864015579,4,0.0512
165.848989009857,4,0.0512
166.858241319656,4,0.0512
167.86892414093,4,0.0512
168.900964975357,4,0.0512
169.908947944641,4,0.0512
170.917003154755,4,0.0512
171.929000854492,4,0.0512
172.936979293823,4,0.0512
173.944936990738,4,0.0512
174.952916145325,4,0.0512
175.96479678154,4,0.0512
176.972812652588,4,0.0512
177.980827331543,4,0.0512
179.008916854858,4,0.0512
180.016974925995,4,0.0512
181.032994031906,4,0.0512
182.044943332672,4,0.0512
184.056798696518,4,0.0512
185.086981296539,4,0.0512
186.102559089661,4,0.0512
187.112943649292,4,0.0512
188.120818853378,4,0.0512
189.148977279663,4,0.0512
190.160937547684,4,0.0468
191.168992042542,4,0.0512
192.177006483078,4,0.0512
193.184962749481,4,0.0512
194.192791223526,4,0.0512
195.220953226089,4,0.0469
196.249026060104,4,0.0512
197.268966436386,4,0.0512
198.276962995529,4,0.0469
199.287869691849,4,0.0469
200.297520875931,4,0.0512
201.304951667786,4,0.0512
202.312935113907,4,0.0512
204.324786901474,4,0.0512
205.350130796432,4,0.0469
206.364953041077,4,0.0468
207.380748033524,4,0.0468
208.388823509216,4,0.0512
209.396962404251,4,0.0468
210.4048204422,4,0.0512
211.412948131561,4,0.0466
212.420810699463,4,0.0466
213.444937944412,4,0.0512
214.452791213989,4,0.0469
215.480993747711,4,0.0512
216.488945007324,4,0.0469
217.496979951859,4,0.0461
218.5048391819,4,0.0469
219.513031005859,4,0.0469
220.521728277206,4,0.0461
221.55310344696,4,0.0469
222.580932378769,4,0.0469
224.59693980217,4,0.0461
225.603658676147,4,0.0461
226.610137224197,6,0.0384
227.620954751968,6,0.0466
228.646273136139,6,0.0461
229.658049106598,6,0.0468
230.664684534073,6,0.0468
231.676517009735,6,0.0468
232.704319238663,6,0.0384
233.710978984833,6,0.0461
234.717108011246,6,0.0452
235.742711305618,6,0.0461
236.74889087677,6,0.0461
237.760611057281,6,0.0512
238.767292261124,6,0.0478
239.826402664185,6,0.0563
240.843224048615,6,0.0481
241.850637674332,6,0.0529
242.858016490936,6,0.0537
244.863454580307,6,0.0537
245.86606669426,6,0.0537
246.870338916779,6,0.0503
247.872954130173,6,0.0503
248.892906188965,6,0.0503
249.899583816528,6,0.0503
250.906203985214,6,0.0503
251.907744646072,6,0.0503
252.908978462219,6,0.0546
253.915611982346,6,0.0548
254.939697027206,6,0.0546
255.946323394775,6,0.0493
256.952933073044,6,0.0512
257.959775924683,6,0.0556
258.966277360916,6,0.052
259.978203773499,6,0.0563
260.984947919846,6,0.0529
261.986505031586,6,0.0573
262.992970943451,6,0.0529
265.000810623169,6,0.0537
266.007509469986,6,0.058
267.014168024063,6,0.058
268.020931243896,6,0.058
269.027713298798,6,0.0582
270.034517526627,6,0.0582
271.040955543518,6,0.0537
272.042556762695,6,0.0582
273.048961639404,6,0.0582
274.060897111893,6,0.0582
275.08692073822,6,0.058
276.092943191528,6,0.0546
277.099665164948,6,0.059
278.13717007637,6,0.0554
279.144045352936,6,0.0599
280.149701118469,6,0.0554
281.152152776718,6,0.0563
282.166329622269,6,0.0649
283.184534788132,6,0.0607
285.188493251801,6,0.0615
286.195002794266,6,0.0615
287.196473121643,6,0.0615
288.202945709229,6,0.0615
289.208829402924,6,0.0658
290.220928907394,6,0.0615
291.222479343414,6,0.0615
292.228932857513,6,0.0615
293.24069237709,6,0.0658
294.247729301453,6,0.0658
295.254376888275,6,0.0573
296.255960464478,6,0.058
297.26265335083,6,0.0624
298.268980503082,6,0.0582
299.275719642639,6,0.0632
300.282046318054,6,0.0632
301.288797616959,6,0.0597
302.295600891113,6,0.0641
303.302338838577,6,0.0641
305.31005358696,6,0.0599
306.316700458527,6,0.0607
307.323379278183,6,0.0607
308.335114717484,6,0.0607
309.341974020004,6,0.0649
310.348776102066,6,0.0649
311.355396270752,6,0.0649
312.362158060074,6,0.0649
313.368946790695,6,0.0649
314.37580871582,6,0.0649
315.382146835327,6,0.0649
316.388915300369,6,0.0692
317.395602941513,6,0.0607
318.407477617264,6,0.0658
319.414200305939,6,0.0615
320.424944877625,6,0.058
321.426510334015,6,0.0622
322.428183794022,6,0.0666
323.428942203522,6,0.0624
325.436808824539,6,0.0632
326.443672418594,6,0.0675
327.450106859207,6,0.0675
328.46186709404,6,0.0675
329.468621253967,6,0.0675
330.47544169426,6,0.0675
331.482168197632,6,0.0675
332.488946437836,6,0.0675
333.49533367157,6,0.0675
334.507155895233,6,0.0675
335.51398730278,6,0.0675
336.525084257126,6,0.0599
337.53125333786,6,0.0683
338.537966251373,6,0.0683
339.544766187668,6,0.0683
340.57125043869,6,0.0649
341.596988677979,6,0.0692
342.603612184525,6,0.0692
344.611454248428,6,0.0692
345.641363620758,6,0.0658
346.642908811569,6,0.0649
347.648967266083,6,0.0658
348.66076540947,6,0.0615
349.667464971542,6,0.0649
350.674236774445,6,0.0658
351.680988311768,6,0.0658
352.702845335007,6,0.0692
353.708950281143,6,0.0658
354.715620040894,6,0.0658
355.727483034134,6,0.07
356.74717259407,6,0.07
357.774609565735,6,0.0743
358.780941009521,6,0.0666
359.792741537094,6,0.0709
360.799403905869,6,0.0709
361.806005001068,6,0.0666
362.812659740448,6,0.0675
364.820379495621,6,0.0717
365.821031093597,6,0.0717
366.827752828598,6,0.0717
367.834389925003,6,0.0675
368.835896968842,6,0.0717
369.847683668137,6,0.0717
370.874983072281,6,0.0717
371.880904197693,6,0.0717
372.887623548508,6,0.0717
373.894362211227,6,0.0675
374.900961875916,6,0.0717
375.906887769699,6,0.0675
376.932947397232,6,0.0683
377.93972492218,6,0.0726
378.94647359848,6,0.0726
379.95293545723,6,0.0683
380.959789514542,6,0.0692
381.966469526291,6,0.0735
382.972983837128,6,0.0735
384.980906009674,6,0.0777
385.987711668015,6,0.0735
386.994552850723,6,0.0692
388.000897407532,6,0.0735
389.007619142532,6,0.0692
390.014286518097,6,0.0735
391.02599978447,6,0.0692
392.032784223557,6,0.0692
393.039513111115,6,0.0692
394.046265363693,6,0.0692
395.047830343246,6,0.0735
396.054437637329,6,0.07
397.060940980911,6,0.0743
398.067708969116,6,0.0743
399.074558496475,6,0.07
400.080902338028,6,0.07
401.092644929886,6,0.0709
402.104428529739,6,0.0752
403.116173028946,6,0.0752
405.128937721252,6,0.0752
406.135631799698,6,0.0709
407.137039422989,6,0.0709
408.143715143204,6,0.0709
409.14494562149,6,0.0709
410.156770467758,6,0.0675
411.163420677185,6,0.0709
412.17515873909,6,0.0709
413.176743030548,6,0.0709
414.1834025383,6,0.0709
415.210075139999,6,0.0709
416.216970443726,6,0.0717
417.27490735054,6,0.076
418.281654596329,6,0.076
419.294664859772,6,0.0717
420.298540115356,6,0.0726
421.305027008057,6,0.0726
422.30876994133,6,0.0769
423.312234401703,6,0.0769
425.315474510193,6,0.0769
426.316972017288,6,0.0726
427.319338321686,6,0.0726
428.321949720383,6,0.0726
429.323760271072,6,0.0726
430.330255746841,6,0.0726
431.339205026627,6,0.0726
432.342638731003,6,0.0769
433.348861455917,6,0.0726
434.355560064316,6,0.0726
435.367410182953,6,0.0735
436.374181032181,6,0.0777
437.38094997406,6,0.0777
438.387630462646,6,0.0777
439.388929367065,6,0.0777
440.39559006691,6,0.0743
441.402250051498,6,0.0743
443.410091400146,6,0.0786
444.435958623886,6,0.0786
445.442772865295,6,0.0786
446.448925018311,6,0.0787
447.455653905869,6,0.0786
448.461671590805,6,0.0786
449.468365907669,6,0.0786
450.474998474121,6,0.0786
451.480979919434,6,0.0786
452.487702608109,6,0.0786
453.499562740326,6,0.0786
454.506237506866,6,0.0828
455.51299238205,6,0.0786
456.519789218903,6,0.0709
457.531525850296,6,0.0752
458.538189649582,6,0.0794
459.539800405502,6,0.0794
460.546368598938,6,0.0794
461.558057308197,6,0.0794
463.565047502518,6,0.0752
464.571077823639,6,0.076
465.576987981796,6,0.076
466.583220720291,6,0.076
467.584849119186,6,0.076
468.591635465622,6,0.076
469.598371982574,6,0.076
470.626929521561,6,0.076
471.638793945312,6,0.076
472.644935369492,6,0.076
473.651499271393,6,0.076
474.657968997955,6,0.0803
475.686859607697,6,0.0803
476.692970275879,6,0.0803
477.69958281517,6,0.0803
478.714329481125,6,0.076
479.715747833252,6,0.0769
480.736936807632,6,0.0769
481.771690607071,6,0.0811
483.780344963074,6,0.0811
484.801211595535,6,0.0811
485.813556432724,6,0.0811
486.816262483597,6,0.0811
487.818106174469,6,0.0811
488.820062160492,6,0.0811
489.840173721313,6,0.0811
490.852905035019,6,0.0811
491.859492540359,6,0.0811
492.885075569153,6,0.0811
493.896749019623,6,0.0811
494.903362751007,6,0.0811
495.91010260582,6,0.0769
496.930698633194,6,0.0777
497.936898946762,6,0.0821
498.958088874817,6,0.0821
499.96467757225,6,0.0821
500.990119695663,6,0.0838
501.996764659882,6,0.082
504.004458427429,6,0.0821
505.016659498215,6,0.0821
506.023416042328,6,0.0777
507.030089139938,6,0.082
508.036761045456,6,0.0777
509.043421983719,6,0.0821
510.050136804581,6,0.0786
511.06090426445,6,0.0821
512.062532424927,6,0.0821
513.074278354645,6,0.0786
514.080979824066,6,0.0777
515.087740659714,6,0.0786
516.094387054443,6,0.0828
517.105367660522,6,0.0828
518.112182617188,6,0.083
519.139340162277,6,0.0872
520.151159524918,6,0.0828
521.15693116188,6,0.0828
522.163647174835,6,0.0786
524.190025806427,6,0.0794
525.204169511795,6,0.0794
526.210866689682,6,0.0836
527.222576856613,6,0.0794
528.228960514069,6,0.0836
529.240936517715,6,0.0794
530.247644662857,6,0.0794
531.254187107086,6,0.0836
532.260849952698,6,0.0794
533.272851705551,6,0.0794
534.284722328186,6,0.0836
535.29141998291,6,0.0836
536.298137426376,6,0.0794
537.304932594299,6,0.0836
538.311719655991,6,0.0836
539.326300621033,6,0.0794
540.337911844254,6,0.0803
541.351917505264,6,0.0803
542.367027282715,6,0.0804
544.379874229431,6,0.0803
545.393539428711,6,0.0803
546.400265932083,6,0.0803
547.406933546066,6,0.0803
548.418623447418,6,0.0803
549.429563045502,6,0.0803
550.440919876099,6,0.0803
551.447674751282,6,0.0803
552.454331636429,6,0.0803
553.460985898972,6,0.0803
554.472722768784,6,0.0804
555.479429960251,6,0.0803
556.486222267151,6,0.0803
557.492923736572,6,0.0803
558.499567747116,6,0.0803
559.508988618851,6,0.0811
560.520720243454,6,0.0811
561.535792589188,6,0.0811
562.54260134697,6,0.0811
564.544895172119,6,0.0811
565.560696363449,6,0.0813
566.567296981812,6,0.0813
567.574038982391,6,0.0811
568.575566291809,6,0.0813
569.582283973694,6,0.0811
570.58391046524,6,0.0811
571.595776796341,6,0.0811
572.607483148575,6,0.0811
573.608903884888,6,0.0811
574.615594863892,6,0.0811
575.622255563736,6,0.0811
576.628933668137,6,0.0811
577.635642528534,6,0.0811
578.636930942535,6,0.0811
579.643617868423,6,0.082
580.650350809097,6,0.082
581.662013053894,6,0.0836
582.672918558121,6,0.0821
584.684940099716,6,0.0836
585.691679000854,6,0.0836
586.698436975479,6,0.0836
587.704911231995,6,0.0836
588.706437349319,6,0.0821
589.712930679321,6,0.0836
590.714491605759,6,0.082
591.726237535477,6,0.0838
592.737943649292,6,0.0836
593.74476146698,6,0.0821
594.756618738174,6,0.0906
595.763289213181,6,0.0906
596.775195837021,6,0.0906
597.780940771103,6,0.0836
598.787682533264,6,0.0821
599.794492483139,6,0.0836
600.800926208496,6,0.0828
601.807784557343,6,0.0828
602.814466714859,6,0.0872
604.822046995163,6,0.0872
605.828894138336,6,0.0872
606.835609674454,6,0.087
607.842396497726,6,0.0872
608.857971191406,6,0.0872
609.864465475082,6,0.0872
610.87636756897,6,0.087
611.883120298386,6,0.0872
612.888948917389,6,0.0872
613.895740509033,6,0.087
614.907462358475,6,0.0872
615.914076805115,6,0.0915
616.920770406723,6,0.0915
617.927546024323,6,0.0915
618.939329862595,6,0.0915
619.946029186249,6,0.087
620.952715873718,6,0.0872
621.959553003311,6,0.0828
622.966213703156,6,0.0836
624.974010705948,6,0.0828
625.980849027634,6,0.0794
626.992671966553,6,0.0881
627.999430418015,6,0.0881
629.006238460541,6,0.0881
630.01292014122,6,0.0881
631.019656181335,6,0.0881
632.026267290115,6,0.0881
633.038027524948,6,0.0881
634.044857740402,6,0.0881
635.051578521729,6,0.0881
636.05829834938,6,0.0881
637.064932584763,6,0.0881
638.071718931198,6,0.0881
639.07851600647,6,0.0881
640.08492898941,6,0.0881
641.09183716774,6,0.0923
642.1037068367,6,0.0881
643.104989290237,6,0.0881
645.107711553574,6,0.0803
646.108906745911,6,0.0836
647.115548610687,6,0.0836
648.122263431549,6,0.0803
649.128914356232,6,0.0836
650.13573718071,6,0.0803
651.142339706421,6,0.0836
652.148927927017,6,0.0803
653.155572652817,6,0.0803
654.162301778793,6,0.0803
655.176937103271,6,0.0836
656.183406114578,6,0.0803
657.195181846619,6,0.0889
658.204783678055,6,0.0889
659.218838214874,6,0.0889
660.232970237732,6,0.0889
661.274186372757,6,0.0889
662.281430482864,6,0.0889
664.299581050873,6,0.0889
665.308870077133,6,0.0889
666.311983346939,6,0.0889
667.313874006271,6,0.0889
668.317870378494,6,0.0889
669.320507287979,6,0.0889
670.326406478882,6,0.0889
671.336500406265,6,0.0889
672.343101978302,6,0.0889
673.36390042305,6,0.0889
674.388953447342,6,0.0889
675.439707040787,6,0.0811
676.447572946548,6,0.0811
677.462609529495,6,0.0811
678.468772888184,6,0.0811
679.472242116928,6,0.0811
680.473175048828,6,0.0811
681.474934339523,6,0.0898
682.476516246796,6,0.0898
684.48312497139,6,0.0898
685.485838890076,6,0.0898
686.48744559288,6,0.0898
687.488894224167,6,0.0898
688.514868736267,6,0.0898
689.520921468735,6,0.0898
690.527630090714,6,0.0898
691.534227848053,6,0.0898
692.540976047516,6,0.0898
693.547624349594,6,0.0898
694.548995256424,6,0.0898
695.555679559708,6,0.0898
696.562458515167,6,0.0898
697.568953275681,6,0.0898
698.57562828064,6,0.0898
699.587322235107,6,0.0898
700.594049215317,6,0.0898
701.605908870697,6,0.082
702.612768650055,6,0.0821
704.620642900467,6,0.082
705.626683235168,6,0.082
706.638480424881,6,0.0836
707.644953489304,6,0.082
708.65162229538,6,0.0836
709.663335800171,6,0.082
710.675050258636,6,0.0836
711.68678855896,6,0.0836
712.692978858948,6,0.082
713.699685811996,6,0.0836
714.711249351501,6,0.082
715.716985464096,6,0.0836
716.728738307953,6,0.0821
717.740535020828,6,0.0836
718.747212171555,6,0.0906
719.748782157898,6,0.0906
720.755572557449,6,0.0906
721.767467021942,6,0.0906
722.76891207695,6,0.0906
724.776462554932,6,0.0906
725.788191080093,6,0.0906
726.789005756378,6,0.0906
727.800940036774,6,0.0906
728.807596683502,6,0.0949
729.819273471832,6,0.0906
730.831005334854,6,0.0949
731.836911678314,6,0.0949
732.843542098999,6,0.0949
733.850325584412,6,0.0949
734.862123250961,6,0.0949
735.868898630142,6,0.0949
736.875862121582,6,0.0949
737.882568120956,6,0.0949
738.884133577347,6,0.0906
739.89580988884,6,0.0906
740.896819353104,6,0.0906
741.903403997421,6,0.0906
742.910103082657,6,0.0906
744.922012090683,6,0.0872
745.928707361221,6,0.0872
746.940481901169,6,0.087
747.947149515152,6,0.087
748.95295882225,6,0.087
749.95963716507,6,0.087
750.970924377441,6,0.087
751.982650518417,6,0.087
752.988934278488,6,0.0872
753.990170717239,6,0.0872
755.002025842667,6,0.0872
756.008775234222,6,0.0872
757.015508890152,6,0.0872
758.022287130356,6,0.0872
759.034005403519,6,0.0915
760.04065656662,6,0.0915
761.050362825394,6,0.0915
762.056884050369,6,0.0915
763.070786476135,6,0.0915
765.083688020706,6,0.0915
766.090362071991,6,0.0915
767.105822086334,6,0.0957
768.120934009552,6,0.0915
769.127623319626,6,0.0957
770.134293079376,6,0.0957
771.140909671783,6,0.0915
772.147770881653,6,0.0957
773.154561042786,6,0.0957
774.166466474533,6,0.0957
775.1729824543,6,0.0957
776.179671049118,6,0.0957
777.186405897141,6,0.0957
778.198146343231,6,0.0957
779.204917192459,6,0.0957
780.216682434082,6,0.0957
781.228418827057,6,0.0957
782.235112667084,6,0.0915
783.240965843201,6,0.0915
785.248848676682,6,0.0915
786.255608081818,6,0.0915
787.26224899292,6,0.0915
788.273986339569,6,0.0915
789.280749320984,6,0.0915
790.287517786026,6,0.0915
791.299369812012,6,0.0915
792.306054353714,6,0.0915
793.316972255707,6,0.0915
794.323678016663,6,0.0915
795.330319643021,6,0.0915
796.33692741394,6,0.0915
797.343781471252,6,0.0915
798.344986200333,6,0.0881
799.351727247238,6,0.0881
800.358429670334,6,0.0881
801.370150566101,6,0.0881
802.37690281868,6,0.0881
803.383441925049,6,0.0923
805.391206502914,6,0.0923
806.402921199799,6,0.0923
807.409800052643,6,0.0923
808.416583538055,6,0.0923
809.428901195526,6,0.0923
810.43564414978,6,0.0923
811.442477941513,6,0.0923
812.448979854584,6,0.0923
813.455622434616,6,0.0923
814.48028755188,6,0.0923
815.487047433853,6,0.0923
816.492970228195,6,0.0923
817.499604940414,6,0.0923
818.500920057297,6,0.0923
819.512692928314,6,0.0923
820.519469738007,6,0.0923
821.531192064285,6,0.0923
822.537998437881,6,0.0923
823.549910545349,6,0.0966
825.556963682175,6,0.0966
826.558539628983,6,0.0966
827.564950227737,6,0.0966
828.571758508682,6,0.0966
829.586882591248,6,0.0966
830.598663806915,6,0.0966
831.604882717133,6,0.0966
832.616523265839,6,0.0966
833.618124246597,6,0.0966
834.619668960571,6,0.0966
835.631418704987,6,0.0966
836.637982606888,6,0.0966
837.63955616951,6,0.0966
838.646168708801,6,0.0966
839.652909994125,6,0.0966
840.659664392471,6,0.0923
841.671396970749,6,0.0923
842.678241252899,6,0.0923
843.684928894043,6,0.0923
845.692893028259,6,0.0923
