Time,Height (m),Voltage (V)
1739967266.2129657,0.014356674967706201,0.06
1739967267.8380067,0.014817557112872599,0.06
1739967268.9494567,0.015320990611612795,0.06
1739967270.06471,0.01583649050146341,0.06
1739967271.3075104,0.01634814709872007,0.06
1739967272.554107,0.016845611886680125,0.06
1739967273.7468312,0.01732237534224987,0.06
1739967274.9975486,0.01777457353770733,0.06
1739967276.3036926,0.01820018680989742,0.06
1739967277.5998273,0.018598412108421326,0.06
1739967278.8771489,0.018969343151152132,0.06
1739967280.218961,0.01931363338381052,0.06
1739967281.4465134,0.019632333478331564,0.06
1739967282.7134302,0.01992886198759079,0.06
1739967283.9423637,0.02020477256476879,0.06
1739967285.134763,0.020458496940135955,0.06
1739967286.2367427,0.020691638635098934,0.06
1739967287.548931,0.020905760760605335,0.06
1739967288.7516572,0.02110237140059471,0.06
1739967289.9836311,0.02128290426656604,0.06
1739967291.1814692,0.02144868516549468,0.06
1739967292.287462,0.021600961662828922,0.06
1739967293.6042097,0.021740870410203932,0.06
1739967294.789394,0.021869468098133803,0.06
1739967295.918541,0.021987707381695507,0.06
1739967297.3482203,0.02209646224454045,0.06
1739967298.6907089,0.022196519830822943,0.06
1739967299.837439,0.022288598071038723,0.06
1739967301.035136,0.02237334181293845,0.06
1739967302.244467,0.022456615731865165,0.06
1739967303.4034946,0.022533337997645137,0.06
1739967304.605484,0.02260969098061323,0.06
1739967305.811269,0.022680589411407708,0.06
1739967306.9223585,0.022746485543251035,0.06
1739967308.149816,0.022807789929211137,0.06
1739967309.2822173,0.022864870132505894,0.06
1739967310.4576342,0.02291805072650313,0.06
1739967311.7554457,0.02296763307005167,0.06
1739967312.9293773,0.023013873812556266,0.06
1739967314.0126016,0.023057010687887666,0.06
1739967546.0023077,0.014356674967706201,0.06
1739967547.5033436,0.014817557112872599,0.06
1739967548.626895,0.015320990611612795,0.06
1739967549.7336173,0.01583649050146341,0.06
1739967550.8310766,0.01634814709872007,0.06
1739967551.9420614,0.016845611886680125,0.06
1739967553.253537,0.01732237534224987,0.06
1739967554.4660304,0.01777457353770733,0.06
1739967555.679828,0.01820018680989742,0.06
1739967556.7775218,0.018598412108421326,0.06
1739967558.049376,0.018969343151152132,0.06
1739967559.343208,0.01931363338381052,0.06
1739967560.6456137,0.019632333478331564,0.06
1739967561.759598,0.01992886198759079,0.06
1739967562.9621117,0.02020477256476879,0.06
1739967564.2453096,0.020458496940135955,0.06
1739967565.336767,0.020691638635098934,0.06
1739967566.6841283,0.020905760760605335,0.06
1739967567.8398411,0.02110237140059471,0.06
1739967568.9332738,0.02128290426656604,0.06
1739967570.1122885,0.02144868516549468,0.06
1739967571.3008606,0.021600961662828922,0.06
1739967572.5097678,0.021740870410203932,0.06
1739967573.746911,0.021869468098133803,0.06
1739967574.8939853,0.021987707381695507,0.06
1739967576.1151092,0.02209646224454045,0.06
1739967577.325845,0.022196519830822943,0.06
1739967578.4355745,0.022288598071038723,0.06
1739967579.7373033,0.02237334181293845,0.06
1739967580.9383495,0.022456615731865165,0.06
1739967582.0560145,0.022533337997645137,0.06
1739967583.3843856,0.02260969098061323,0.06
1739967584.5137599,0.022680589411407708,0.06
1739967585.7475944,0.022746485543251035,0.06
1739967587.0126333,0.022807789929211137,0.06
1739967588.166654,0.022864870132505894,0.06
1739967589.4440494,0.02291805072650313,0.06
1739967590.6062865,0.02296763307005167,0.06
1739967591.8273928,0.023013873812556266,0.06
1739967593.0756676,0.023057010687887666,0.06
1739967594.284779,0.02309727197214961,0.06
1739967595.387109,0.02313485111966729,0.06
1739967596.471495,0.023169935136288403,0.06
1739967597.5954182,0.02320269899070263,0.06
1739967598.7500334,0.023233291857689617,0.06
1739967599.9952722,0.02326186463162303,0.06
1739967601.2007327,0.023288552730530498,0.06
1739967602.3728588,0.023313479535281657,0.06
1739967603.5522156,0.023336766277253628,0.06
1739967604.7165508,0.02335851957127452,0.06
1739967605.8027,0.02337884302288294,0.06
1739967607.008634,0.023397832499444483,0.06
1739967608.2058496,0.023415570541471243,0.06
1739967609.517093,0.023432149147242308,0.06
1739967610.685227,0.02344763839021325,0.06
1739967611.8040006,0.023462112642824648,0.06
1739967613.0407214,0.02347563810944557,0.06
1739967614.2234957,0.023488278415054083,0.06
1739967615.3205335,0.023500086867064236,0.06
1739967616.6591134,0.023511125370860097,0.06
1739967617.9692993,0.023521440355479716,0.06
1739967619.0717084,0.023531078679859638,0.06
1739967620.2708852,0.023540084193646907,0.06
1739967621.4705343,0.023548495157808064,0.06
1739967622.655288,0.02355635886117816,0.06
1739967623.834139,0.023563700667768715,0.06
1739967624.9091144,0.023570568296313283,0.06
1739967626.0087821,0.023576977653056382,0.06
1739967627.1262474,0.023582973447442052,0.06
1739967628.2989798,0.023588573305308818,0.06
1739967629.587734,0.023593805599957704,0.06
1739967750.4661348,0.014356674967706201,0.06
1739967752.0307913,0.014817557112872599,0.06
1739967753.1699133,0.015320990611612795,0.06
1739967754.3340378,0.01583649050146341,0.06
1739967755.4592676,0.01634814709872007,0.06
1739967756.6179714,0.016845611886680125,0.06
1739967757.8163595,0.01732237534224987,0.06
1739967759.148425,0.01777457353770733,0.06
1739967760.2587757,0.01820018680989742,0.06
1739967761.4877517,0.018598412108421326,0.06
1739967762.642499,0.018969343151152132,0.06
1739967763.8651662,0.01931363338381052,0.06
1739967765.1315355,0.019632333478331564,0.06
1739967766.298395,0.01992886198759079,0.06
1739967767.4286475,0.02020477256476879,0.06
1739967768.6266205,0.020458496940135955,0.06
1739967769.842481,0.020691638635098934,0.06
1739967771.1379151,0.020905760760605335,0.06
1739967772.4217844,0.02110237140059471,0.06
1739967773.647134,0.02128290426656604,0.06
1739967775.1837327,0.02144868516549468,0.06
1739967776.3759706,0.021600961662828922,0.06
1739967777.4833632,0.021740870410203932,0.06
1739967778.7139063,0.021869468098133803,0.06
1739967779.8580675,0.021987707381695507,0.06
1739967781.0968301,0.02209646224454045,0.06
1739967782.281716,0.022196519830822943,0.06
1739967783.5831804,0.022288598071038723,0.06
1739967784.7637644,0.02237334181293845,0.06
1739967786.1403117,0.022456615731865165,0.06
1739967787.5377371,0.022533337997645137,0.06
1739967789.0092857,0.02260969098061323,0.06
1739967790.440376,0.022680589411407708,0.06
1739967791.7489984,0.022746485543251035,0.06
1739967793.0482805,0.022807789929211137,0.06
1739967794.2548172,0.022864870132505894,0.06
1739967795.4950325,0.02291805072650313,0.06
1739967796.955314,0.02296763307005167,0.06
1739967798.344182,0.023013873812556266,0.06
1739967799.6576273,0.023057010687887666,0.06
1739967801.0772383,0.02309727197214961,0.06
1739967802.4339592,0.02313485111966729,0.06
1739967803.792154,0.023169935136288403,0.06
1739967805.0609508,0.02320269899070263,0.06
1739967806.332273,0.023233291857689617,0.06
1739967807.5714135,0.02326186463162303,0.06
1739967808.7815988,0.023288552730530498,0.06
1739967810.127299,0.023313479535281657,0.06
1739967883.6289058,0.014356674967706201,0.06
1739967885.378446,0.014817557112872599,0.06
1739967886.551188,0.015320990611612795,0.06
1739967887.7817838,0.01583649050146341,0.06
1739967889.0784883,0.01634814709872007,0.06
1739967890.4823158,0.016845611886680125,0.06
1739967891.869173,0.01732237534224987,0.06
1739968011.381652,0.01437568679898977,1.4355250000000113
1739968013.264256,0.014227487029135226,1.8405299722934114
1739968014.5607495,0.014226272995769977,1.9043429147122812
1739968015.7392056,0.014227045953273771,1.9580261437621767
1739968017.09298,0.01422796679586172,2.020208399586581
1739968018.2762198,0.014228781883418558,2.07451217772225
1739968019.5277455,0.014229646839201448,2.1317017477412716
1739968020.7224438,0.014230473104119299,2.186050978622818
1739968021.8909347,0.014231291630864142,2.2396680761972356
1739968023.0613668,0.014232111877202986,2.2932844466035394
1739968024.2071686,0.014232916647195814,2.3454352316733362
1739968025.386922,0.014233759248256681,2.399782383596687
1739968026.6664388,0.01423467063307762,2.458383659967842
1739968027.893275,0.01423554504662752,2.5141442549214945
1739968029.0581703,0.014236393666267394,2.567753963720372
1739968030.1691802,0.014237192417681215,2.618480344555261
1739968031.2899542,0.014238006645441054,2.6699395405429547
1739968032.420236,0.014238831190764903,2.7213973562340383
1739968033.6787705,0.014239743435382842,2.7785740808858668
1739968034.7882664,0.014240577438473699,2.8300270021825233
1739968036.0558915,0.014241517196595667,2.887933411052714
1739968037.213916,0.014242379572987554,2.9408020244297886
1739968038.308223,0.014243195520341395,2.990834989885186
1739968039.5633373,0.01424413355886936,3.0480065170641435
1739968040.7472625,0.014245029467344282,3.102290589373922
1739968041.8460038,0.014245863470435141,3.152319649882402
1739968043.0132072,0.01424675593972206,3.2059184778023067
1739968044.1950545,0.014247664745151996,3.2602008044232442
1739968045.3616922,0.014248553775250911,3.3131089921502124
1739968046.4962752,0.014249432487785815,3.3652389699434737
1739968047.8397074,0.014250474561750888,3.426701371303845
1739968049.1175551,0.014251476225256918,3.4852752511712874
1739968050.282611,0.014252383311092852,3.5381304947497076
1739968051.519096,0.014253356601297854,3.594601588785414
1739968052.730426,0.014254311835765837,3.6503375483822844
1739968054.2606258,0.014255530168116091,3.7203455399276852
1739968055.4890401,0.014256507757306098,3.7760714986822466
1739968056.6657534,0.014257459552586078,3.830339696298619
1739968057.8559783,0.014258419086039064,3.8846532804917526
1739968058.9543445,0.01425929779857397,3.934620042427115
1739968060.2123275,0.01426032783538103,3.9925014100380976
1739968061.6479037,0.014261497159302233,4.058198417834439
1739968062.9362264,0.014262545251846313,4.116800098758584
1739968064.066304,0.014263478131592271,4.168223292573934
1739968065.3436613,0.014264536541700361,4.2267837906949834
1739968066.5363717,0.014265524448454378,4.281040033516739
1739968067.7335122,0.014266529551148413,4.336074704878166
1739968068.9021258,0.014267509719729421,4.389598445692963
1739968069.9993494,0.014268427123129366,4.4396003850021515
1739968071.095694,0.014269349685311315,4.489603203627452
1739968072.3702419,0.01427043130993843,4.548156489815106
1739968073.4521017,0.014271347853541373,4.597420516124158
1739968074.6167011,0.014272351236641405,4.6509870001317415
1739968075.8323202,0.014273382133245466,4.705967260101039
1739968076.9487622,0.014274345105886458,4.757378778303016
1739968078.0583627,0.014275301200151441,4.808105366056279
1739968079.2848046,0.014276359610259531,4.8637693663665384
1739968080.450338,0.01427737846970558,4.917325720600052
1739968081.6569443,0.014278430861234663,4.972299468517634
1739968082.8719046,0.014279493570327758,5.028002489551918
1739968084.0284452,0.014280509850382803,5.080823513711824
1739968085.1453097,0.014281491738557814,5.131541659376233
1739968086.384672,0.014282599157094953,5.188660338057786
1739968087.5174851,0.014283598241209982,5.240059191449939
1739968088.626243,0.014284588727355002,5.290728708477005
1739968089.9079154,0.014285730537772177,5.349260435732909
1739968091.1283247,0.014286826778948306,5.404951875894852
1739968092.2470858,0.014287842199206351,5.456346308533252
1739968093.50937,0.014288984869420526,5.514187437701298
1739968094.602267,0.01428997879475355,5.564161008147729
1739968095.8357341,0.014291106848418712,5.62053735655503
1739968097.0097792,0.014292176435887812,5.674074337718709
1739968098.2056727,0.014293266658484934,5.728297436665232
1739968099.3085833,0.014294288957118987,5.7789992039964275
1739968100.4974115,0.014295383478701114,5.8332212140453015
1739968101.6525762,0.014296454785764216,5.886022915096457
1739968102.9832344,0.014297689454257486,5.946730787474271
1739968104.4582465,0.014299058251082896,6.013784739300616
1739968105.7914646,0.014300314414501188,6.0751657411063995
1739968106.9797654,0.014301436449587344,6.129419282679429
1739968108.219246,0.01430259889513254,6.18577764904807
1739968109.4467063,0.014303767359256743,6.242133368645097
1739968110.6499588,0.014304912608861922,6.297070882588204
1739968111.8614643,0.014306058718264101,6.352053410318967
1739968113.0933652,0.014307239219546316,6.408405350578581
1739968114.453145,0.014308538372814653,6.470466397440727
1739968115.6980228,0.014309741228818892,6.527541749876658
1739968116.8846998,0.014310890777409074,6.581785691616698
1739968118.0978675,0.014312055802345274,6.63671520355379
1739968119.4246466,0.014313346357643603,6.697353842700167
1739968120.644002,0.014314537176489828,6.753007156831253
1739968121.7312906,0.014315609343349932,6.802951328594789
1739968122.9511626,0.014316804461181162,6.858562751408778
1739968124.1415346,0.014317970345914362,6.912798534173962
1739968125.3196452,0.01431914396882057,6.966988126831361
1739968126.5371966,0.014320333068072795,7.021906987949704
1739968127.7107093,0.01432151442915201,7.0761387592872715
1739968128.8134906,0.014322602932155131,7.126075581669405
1739968130.041469,0.014323831582069395,7.1824088345610075
1739968131.1872144,0.014324976831674574,7.234488483228463
1739968132.4335308,0.01432622611671686,7.291547904700715
1739968133.6824646,0.01432748915851116,7.34860264350355
1739968134.8284912,0.014328640426695346,7.400631414608991
1739968136.2826126,0.014330105520784854,7.466957362023496
1739968137.6101718,0.014331459701061247,7.527608698963676
1739968138.9108794,0.014332782068848608,7.5867545017828215
1739968140.3591447,0.014334264358878135,7.653114965621082
1739968141.7576404,0.014335708817839622,7.717276521231611
1739968143.0799563,0.014337062138319014,7.777144737493757
1739968144.377249,0.01433839998245239,7.836328968285997
1739968145.6011798,0.014339676780998706,7.892680908983651
1739968146.924574,0.01434104041904211,7.952548949090588
1739968148.15117,0.014342329254746435,8.008851196072204
1739968149.3765936,0.014343602614104747,8.06446923163954
1739968150.6835897,0.014344971410930156,8.124377880626476
1739968151.9034903,0.014346254228055475,8.179944641543194
1739968153.2123513,0.0143476376414299,8.239849525228003
1739968154.4649477,0.01434895828962326,8.296873475774982
1739968155.6422656,0.014350198976695537,8.350336877213724
1739968156.8099003,0.014351442243158815,8.40380122340089
1739968158.0699081,0.014352782666683196,8.461509350969369
1739969144.3427687,0.014608867184817789,12.0
1739969146.6885655,0.01450472255349159,12.0
1739969147.821552,0.014503687357902525,12.0
1739969148.977048,0.014503675320744513,12.0
1739969150.0779786,0.014503674460947512,12.0
1739969151.207024,0.014503674460947512,12.0
1739969152.324259,0.014503674460947512,12.0
1739969153.5187497,0.014503674460947512,12.0
1739969154.6940095,0.014503674460947512,12.0
1739969155.8982902,0.014503674460947512,12.0
1739969157.0411665,0.014503674460947512,12.0
1739969158.1535342,0.014503674460947512,12.0
1739969159.273964,0.014503674460947512,12.0
1739969160.4514403,0.014503674460947512,12.0
1739969161.9335504,0.014503674460947512,12.0
1739969163.2081664,0.014503674460947512,12.0
1739969164.3321698,0.014503674460947512,12.0
1739969165.4551523,0.014503674460947512,12.0
1739969166.6434703,0.014503674460947512,12.0
1739969167.9922576,0.014503674460947512,12.0
1739969169.2998953,0.014503674460947512,12.0
1739969170.4291692,0.014503674460947512,12.0
1739969171.6158848,0.014503674460947512,12.0
1739969172.9505231,0.014503674460947512,12.0
1739969174.1357622,0.014503674460947512,12.0
1739969175.4017205,0.014503674460947512,12.0
1739969176.5155048,0.014503674460947512,12.0
1739969177.8314624,0.014503674460947512,12.0
1739969179.046841,0.014503674460947512,12.0
1739969180.2260478,0.014503674460947512,12.0
1739969181.4285681,0.014503674460947512,12.0
1739969182.5275595,0.014503674460947512,12.0
1739969183.761075,0.014503674460947512,12.0
1739969184.9198022,0.014503674460947512,12.0
1739969186.0599997,0.014503674460947512,12.0
1739969187.2982957,0.014503674460947512,12.0
1739969188.4818718,0.014503674460947512,12.0
1739969189.5984304,0.014503674460947512,12.0
1739969190.8106115,0.014503674460947512,12.0
1739969191.9999568,0.014503674460947512,12.0
1739969193.1253035,0.014503674460947512,12.0
1739969194.3073292,0.014503674460947512,12.0
1739969195.4989493,0.014503674460947512,12.0
1739969196.8154283,0.014503674460947512,12.0
1739969198.002067,0.014503674460947512,12.0
1739969199.2060578,0.014503674460947512,12.0
1739969200.574315,0.014503674460947512,12.0
1739969201.7946944,0.014503674460947512,12.0
1739969203.1241112,0.014503674460947512,12.0
1739969204.2451718,0.014503674460947512,12.0
1739969205.448537,0.014503674460947512,12.0
1739969206.636436,0.014503674460947512,12.0
1739969207.9041789,0.014503674460947512,12.0
1739969209.0350773,0.014503674460947512,12.0
1739969210.1983619,0.014503674460947512,12.0
1739969211.3256154,0.014503674460947512,12.0
1739969212.4868724,0.014503674460947512,12.0
1739969213.7303827,0.014503674460947512,12.0
1739969215.0588167,0.014503674460947512,12.0
1739969216.1492925,0.014503674460947512,12.0
1739969217.372996,0.014503674460947512,12.0
1739969218.5456471,0.014503674460947512,12.0
1739969219.7287474,0.014503674460947512,12.0
1739969220.8964107,0.014503674460947512,12.0
1739969222.0845108,0.014503674460947512,12.0
1739969223.2417068,0.014503674460947512,12.0
1739969224.6622522,0.014503674460947512,12.0
1739969225.7728417,0.014503674460947512,12.0
1739969352.3184717,0.014414004512131212,3.7668749999999998
1739969354.1781173,0.014265710164606569,4.169199230247988
1739969355.401145,0.014264629399776458,4.23008417433062
1739969356.7234766,0.014265686090290546,4.290167138873621
1739969357.8744075,0.014266654221713542,4.34300430503782
1739969359.0209322,0.014267612035572527,4.395157008628138
1739971759.9107225,0.014382076810300348,1.8582550000000262
1739971761.740767,0.014233793640136718,2.260227877204964
1739971762.8644178,0.014232498785853384,2.316163354464719
1739971764.0218387,0.014233285500109194,2.3691094314968115
1739971765.2038326,0.01423412638157606,2.423410920180503
1739971766.2882159,0.01423491309583187,2.473453559475014
1739971767.3914611,0.014235697230696677,2.523496963120543
1739971768.4863565,0.01423648738414049,2.573539586304178
1739971769.5781882,0.014237272378802297,2.6235354009900322
1739971770.6875653,0.014238082307577131,2.674308478809651
1739971771.7813585,0.014238881058990955,2.7243019569842586
1739971772.884042,0.014239696146547793,2.775072836466391
1739971774.030682,0.014240531869232654,2.8272151302325947
1739971775.2415123,0.01424143293648958,2.882970850203415
1739971776.400822,0.014242296172678469,2.9358407217111644
1739971777.5020137,0.014243114699423312,2.985873752612548
1739971778.5968356,0.014243936665356158,3.0359072293290783
1739971779.6909354,0.01424476379007101,3.085939703639154
1739971780.80338,0.014245604671537874,3.136657446854537
1739971781.9184256,0.014246459309756754,3.1881059151550506
1739971783.0939965,0.014247355218231677,3.2417034256974713
1739971784.4086893,0.014248356881737707,3.3017040183968986
1739971785.5041375,0.014249210660159587,3.351726266063057
1739971786.614665,0.014250064438581464,3.4024840288776503
1739971787.7287395,0.014250939711928366,3.45392709303159
1739971788.827023,0.014251796069741248,3.50390455772608
1739971789.938997,0.014252663604915141,3.554659373354224
1739971791.2113824,0.01425367386639118,3.61323568522115
1739971792.4032767,0.014254617063701151,3.6675062664974583
