,Unnamed: 0,Time,flow_rate,height
0,0.0,117.47,0.29,1.378
1,1.0,118.48,0.272,1.364
2,2.0,119.49,0.33,1.6396000000000002
3,3.0,120.5,0.3844,1.9124000000000003
4,4.0,121.51,0.4504,2.23632
5,5.0,122.52,0.52728,2.6188
6,6.0,123.54,0.5593600000000001,2.790464
7,7.0,145.68,0.6104160000000001,3.041424
8,8.0,156.69,0.678288,3.2375968
9,9.0,167.7,0.7434912,3.4494016000000003
10,,179.72,0.7890688000000001,3.6336569600000006
11,,180.73,0.80631104,3.7777772799999996
12,,181.74,0.8522528000000001,3.9504158719999998
13,,182.75,0.8914318080000001,4.093686527999999
14,,183.76,0.926224768,4.2362503424
15,,184.77,0.9558128896,4.365107327999999
16,,185.78,0.9832440832,4.485626004479999
17,,186.79,1.01314445312,4.60309201408
18,,187.8,1.03934270976,4.7101340405759995
19,,188.81,1.0636852387840001,4.812015137792
20,,189.83,1.086308827136,4.906791877427199
21,,190.84,1.1358832969728,5.0001734393856
22,,191.85,1.15649624576,5.080406613975039
23,,192.86,1.18104401453056,5.07582289903616
24,,193.87,1.2044747217305602,5.149877413715967
25,,194.88,1.2279464768798722,5.2026389659648
26,,195.89,1.2515796557987842,5.233256073222553
27,,234.01,1.2699922917801985,5.359749178538392
28,,245.02,1.2630089737879553,5.342319070387896
29,,256.03,1.280798629237883,5.395104326288343
30,,267.05,1.292505479649362,5.455592657622729
31,,278.06,1.3030759101209641,5.494085729687437
32,,289.07,1.3112610748910798,5.470553046567472
33,,300.08,1.317877798559233,5.581420356797281
34,,311.09,1.3275282187798578,5.5350671520331955
35,,322.1,1.3349440526441279,5.658330358134984
36,,333.12,1.341948600470227,5.674225257017077
37,,344.13,1.3483222289748598,5.723074182706585
38,,355.14,1.3544597340906892,5.763808624796508
39,,356.15,1.3605486201738146,5.796139389978369
40,,367.81,1.3659349232359808,5.83788768453103
41,,378.82,1.375055836741918,5.865449490899708
42,,389.83,1.399853101295069,5.920181976402498
43,,400.84,1.3811998228484805,5.948657038041123
44,,411.85,1.3902784962893564,5.911931708362322
45,,422.88,1.3944087368242897,6.026435237974871
46,,433.89,1.4232774514349649,5.95324404274113
47,,444.9,1.403148031451439,6.087441192156163
48,,445.91,1.4318329014794184,6.094053605423889
49,,457.68,1.4362225432000102,6.121810436246898
50,,468.69,1.4225334242380225,6.090234815659211
51,,479.7,1.4288961855131666,6.197309855313616
52,,480.71,1.452747380073778,6.222708009897232
53,,492.49,1.4578970108861236,6.244681742528724
54,,503.5,1.4400799066049956,6.204412623423392
55,,514.51,1.4664148001422181,6.314986884679756
56,,515.52,1.4459240966156126,6.337822446232592
57,,527.33,1.453427819541423,6.3613578521058205
58,,538.34,1.4740631628497902,6.384380739372893
59,,549.35,1.47516932458085,6.423715961288312
60,,550.36,1.4579659758298087,6.459709584478212
61,,562.03,1.4597168807175351,6.481455399799924
62,,573.04,1.4881252565603744,6.437832827449047
63,,584.05,1.4633830687955969,6.547852336987868
64,,585.06,1.4901954875377137,6.558542754603098
65,,596.92,1.487838236380663,6.58337002974301
66,,607.93,1.4902841387222439,6.531136663767988
67,,618.94,1.4999084098548696,6.643519589756605
68,,629.95,1.4763401862872434,6.570180357020393
69,,630.96,1.5076452544990981,6.6073138075741396
70,,642.7,1.504874194249004,6.6936413280576
71,,653.71,1.508835597872691,6.702430083623826
72,,664.72,1.511753608978043,6.734931016481747
73,,675.73,1.5135390465816072,6.678713115255192
74,,686.74,1.5206217311197672,6.795663247147462
75,,697.75,1.521800489536269,6.809943108683673
76,,708.76,1.5249499969104217,6.830347492501646
77,,719.77,1.5275429752431373,6.8698500975136145
78,,720.78,1.5301822528296132,6.888933392717594
79,,732.49,1.5329830385619192,6.927160789169278
80,,743.5,1.5348951429038882,6.9458148182833055
81,,754.51,1.5631316527090182,6.985258354380425
82,,765.52,1.5391206819077117,7.012351819536758
83,,776.54,1.5462384174008879,7.035433470910121
84,,787.55,1.5480261032165075,6.986117156273953
85,,798.56,1.550677178984301,7.091771692622122
86,,799.57,1.5533033710468251,7.105832160220251
87,,811.35,1.5508124763018816,7.12713482786859
88,,822.36,1.5736490141297044,7.07183089600529
89,,833.37,1.5545638259099033,7.178171167396984
90,,844.39,1.5596884080925426,7.1073139153432505
91,,855.4,1.560465737477663,7.144593810298223
92,,866.41,1.5877427448868064,7.144890161322823
93,,867.42,1.5636733971219627,7.148381957808749
94,,879.27,1.5664921432733832,7.162993810872256
95,,890.28,1.586314057515795,7.1570359689546095
96,,901.29,1.569674804551963,7.18617194806041
97,,902.3,1.5748444685595895,7.190660379791687
98,,914.01,1.5712308804926207,7.196916737139205
99,,925.02,1.595465094780146,7.205372421535792
100,,936.03,1.5744128422239938,7.228157006789182
101,,937.04,1.576243049676864,7.271824297305419
102,,948.94,1.5771906572112702,7.250221309051173
103,,959.95,1.5934703734347249,7.262454092553919
104,,970.96,1.604662328778455,7.2731150069363135
105,,971.97,1.5782633845093705,7.298531341139939
106,,983.76,1.584313281820263,7.3135229411693645
107,,994.77,1.6047173487867639,7.400864349936269
108,,1005.78,1.5861418737085626,7.413524676359907
109,,1006.79,1.6143912687789705,7.441206727836378
110,,1018.69,1.610687177764992,7.469288661721096
111,,1019.7,1.607912754618912,7.515823739060385
112,,1031.47,1.6131875338078578,7.54697688317073
113,,1042.48,1.5958266149742877,7.569968760995553
114,,1053.49,1.6292357469941465,7.596659202357718
115,,1054.5,1.6255228162332098,7.6224116089895535
116,,1066.26,1.6292325300790407,7.663885717116878
117,,1077.27,1.6067545424019003,7.6852032911027095
118,,1088.28,1.6359635416561367,7.70858505789194
119,,1089.29,1.6381491271416593,7.735631963913372
120,,1101.1,1.6394946860740576,7.754017135020217
121,,1112.11,1.6560199482557472,7.79466120600498
122,,1123.12,1.6440723794547505,7.812687489585647
123,,1134.13,1.6539254606255203,7.922579072566101
124,,1135.14,1.6555472281852428,7.855399558904844
125,,1146.88,1.658702494882015,7.894788980635388
126,,1157.89,1.6559130033042522,7.933065465412315
127,,1168.9,1.6624495126295056,7.953091020338396
128,,1169.91,1.664817637399406,8.06116661550373
129,,1181.69,1.6665224478002032,8.067269005058188
130,,1192.7,1.6823765296430355,8.024422416377966
131,,1203.71,1.6699405202266733,8.072918421262525
132,,1214.72,1.67523322549443,8.091189811455656
133,,1225.73,1.6767314270138634,8.11515529164048
134,,1236.74,1.6788145446328684,8.121159930830867
135,,1247.75,1.6808563404756005,8.150737188147327
136,,1248.76,1.680143943473567,8.166084691037906
137,,1260.43,1.6823271075233523,8.181648444414865
138,,1271.44,1.6793092511191798,8.200627420331315
139,,1282.45,1.7084283872210775,8.209926050886192
140,,1293.46,1.6585273285183397,8.245819548786283
