voltage,time,height
4,80.833,0.052
4,82.861,0.0478
4,83.873,0.0563
4,84.879,0.041
4,85.885,0.0469
4,86.943,0.052
4,87.965,0.0468
4,88.973,0.052
4,89.997,0.052
4,91.005,0.0563
4,92.013,0.052
4,93.021,0.052
4,94.029,0.0478
4,95.033,0.0563
4,96.041,0.0565
4,97.069,0.052
4,98.078,0.052
4,99.089,0.052
4,100.1,0.052
4,101.1,0.052
4,103.11,0.052
4,104.13,0.052
4,105.14,0.052
4,106.17,0.0468
4,107.18,0.052
4,108.24,0.052
4,109.25,0.052
4,110.26,0.052
4,111.27,0.052
4,112.28,0.052
4,113.29,0.052
4,114.3,0.052
4,115.31,0.0478
4,116.32,0.0522
4,117.32,0.0478
4,118.33,0.0478
4,119.33,0.0435
4,120.36,0.0435
4,121.37,0.0469
4,123.38,0.0469
4,124.39,0.0512
4,125.4,0.0466
4,126.41,0.0478
4,127.42,0.0468
4,128.43,0.0468
4,129.44,0.0468
4,130.44,0.041
4,131.45,0.0478
4,132.48,0.0468
4,133.49,0.0512
4,134.5,0.0512
4,135.5,0.0478
4,136.53,0.0469
4,137.55,0.0469
4,138.56,0.0469
4,139.57,0.0469
4,140.58,0.0512
4,141.58,0.0512
4,143.65,0.0512
4,144.66,0.0512
4,145.66,0.0512
4,146.67,0.0556
4,147.69,0.0466
4,148.7,0.0556
4,149.71,0.0512
4,150.72,0.0466
4,151.72,0.0512
4,152.73,0.0466
4,153.74,0.0512
4,154.74,0.0512
4,155.75,0.0512
4,156.75,0.0512
4,157.75,0.0469
4,158.76,0.0469
4,159.77,0.0512
4,160.77,0.0512
4,161.78,0.0512
4,163.82,0.0512
4,164.84,0.0512
4,165.85,0.0512
4,166.86,0.0512
4,167.87,0.0512
4,168.9,0.0512
4,169.91,0.0512
4,170.92,0.0512
4,171.93,0.0512
4,172.94,0.0512
4,173.94,0.0512
4,174.95,0.0512
4,175.96,0.0512
4,176.97,0.0512
4,177.98,0.0512
4,179.01,0.0512
4,180.02,0.0512
4,181.03,0.0512
4,182.04,0.0512
4,184.06,0.0512
4,185.09,0.0512
4,186.1,0.0512
4,187.11,0.0512
4,188.12,0.0512
4,189.15,0.0512
4,190.16,0.0468
4,191.17,0.0512
4,192.18,0.0512
4,193.18,0.0512
4,194.19,0.0512
4,195.22,0.0469
4,196.25,0.0512
4,197.27,0.0512
4,198.28,0.0469
4,199.29,0.0469
4,200.3,0.0512
4,201.3,0.0512
4,202.31,0.0512
4,204.32,0.0512
4,205.35,0.0469
4,206.36,0.0468
4,207.38,0.0468
4,208.39,0.0512
4,209.4,0.0468
4,210.4,0.0512
4,211.41,0.0466
4,212.42,0.0466
4,213.44,0.0512
4,214.45,0.0469
4,215.48,0.0512
4,216.49,0.0469
4,217.5,0.0461
4,218.5,0.0469
4,219.51,0.0469
4,220.52,0.0461
4,221.55,0.0469
4,222.58,0.0469
4,224.6,0.0461
4,225.6,0.0461
6,226.61,0.0384
6,227.62,0.0466
6,228.65,0.0461
6,229.66,0.0468
6,230.66,0.0468
6,231.68,0.0468
6,232.7,0.0384
6,233.71,0.0461
6,234.72,0.0452
