voltage,time,height
5,19.164,0.0741
5,21.184,0.0741
5,22.191,0.0741
5,23.199,0.0741
5,24.207,0.0741
5,25.215,0.0741
5,26.226,0.0741
5,27.235,0.0741
5,28.243,0.0741
5,29.251,0.0741
5,30.255,0.0741
5,31.264,0.0741
5,32.28,0.0741
5,33.287,0.0699
5,34.295,0.0697
5,35.303,0.0699
5,36.315,0.0733
5,37.33,0.069
5,38.347,0.0733
5,39.355,0.0733
5,41.364,0.0733
5,42.374,0.0733
5,43.384,0.0775
5,44.391,0.0775
5,45.399,0.0733
5,46.411,0.0775
5,47.423,0.0733
5,48.435,0.0775
5,49.447,0.0733
5,50.459,0.0733
5,51.471,0.0775
5,52.479,0.0775
5,53.489,0.0733
5,54.499,0.0733
5,55.512,0.0733
5,56.527,0.0733
5,57.535,0.0733
5,58.543,0.0733
5,59.552,0.0733
5,61.563,0.069
5,62.576,0.069
5,63.587,0.069
5,64.598,0.069
5,65.609,0.069
5,66.625,0.069
5,67.635,0.069
5,68.644,0.069
5,69.651,0.069
5,70.659,0.069
5,71.675,0.069
5,72.683,0.069
5,73.688,0.0682
5,74.703,0.068
5,75.711,0.0682
5,76.716,0.0724
5,77.723,0.0724
5,78.739,0.0724
5,79.751,0.0724
5,81.764,0.0724
5,82.771,0.0724
5,83.775,0.0724
5,84.791,0.0724
5,85.799,0.0724
5,86.803,0.0724
5,87.815,0.0724
5,88.819,0.0724
5,89.831,0.0724
5,90.839,0.0724
5,91.847,0.0724
5,92.855,0.0724
5,93.864,0.0724
5,94.871,0.0724
5,95.875,0.0724
5,96.887,0.0724
5,97.897,0.0724
5,98.911,0.068
5,99.919,0.068
5,101.94,0.0682
5,102.95,0.068
5,103.96,0.068
5,104.98,0.068
5,105.99,0.068
5,107,0.0682
5,108.01,0.068
5,109.02,0.068
5,110.03,0.068
5,111.04,0.068
5,112.04,0.0682
5,113.05,0.068
5,114.06,0.0672
5,115.07,0.0673
5,116.08,0.0716
5,117.09,0.0716
5,118.1,0.0716
5,119.11,0.0716
5,120.13,0.0716
5,122.14,0.0716
5,123.15,0.0716
5,124.16,0.0716
5,125.17,0.0716
5,126.18,0.0716
5,127.19,0.0716
5,128.2,0.0716
5,129.21,0.0716
5,130.22,0.0716
5,131.23,0.0716
5,132.24,0.0716
5,133.26,0.0716
5,134.26,0.0716
5,135.27,0.0716
5,136.28,0.0716
5,137.28,0.0716
5,138.29,0.0716
5,139.3,0.0716
5,140.31,0.0716
5,142.32,0.0673
5,143.33,0.0673
5,144.34,0.0673
5,145.35,0.0673
5,146.36,0.0672
5,147.38,0.0672
5,148.39,0.0673
5,149.4,0.0673
5,150.41,0.0672
5,151.42,0.0673
5,152.42,0.0672
5,153.43,0.0672
5,154.44,0.0672
5,155.45,0.0672
5,156.46,0.0672
5,157.46,0.0672
5,158.47,0.0663
5,159.48,0.0663
5,160.48,0.0663
5,162.5,0.0707
5,163.51,0.0663
5,164.52,0.0707
5,165.52,0.075
5,166.53,0.0663
5,167.54,0.0707
5,168.55,0.0663
5,169.56,0.0663
5,170.58,0.0665
5,171.6,0.0707
5,172.6,0.0663
5,173.65,0.0707
5,174.66,0.0663
5,175.68,0.0707
5,176.69,0.075
5,177.7,0.075
5,178.7,0.0707
5,179.71,0.0707
5,180.71,0.075
5,182.72,0.0707
5,183.72,0.075
5,184.73,0.075
5,185.73,0.0707
5,186.74,0.0707
5,187.75,0.0707
5,188.75,0.0707
5,189.75,0.0707
5,190.76,0.0707
5,191.76,0.0707
5,192.77,0.0707
5,193.77,0.0707
5,195.79,0.0648
7,197.8,0.0646
7,198.81,0.0648
7,199.82,0.0648
7,200.82,0.0646
7,201.83,0.069
7,202.84,0.0648
7,203.84,0.0646
7,204.85,0.0648
7,205.86,0.0648
